Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
2012950006086,304630,667420,-3.526461,55.89048,95,2,2,2,31/10/2012,4,19:30:00,940,S12000040,6,0,6,30,6,2,6,0,0,5,4,1,2,0,0,1,1,
2012950006088,293260,659120,-3.704906,55.81355,95,3,1,3,31/10/2012,4,22:15:00,940,S12000040,3,71,6,60,0,-1,-1,0,0,0,6,2,2,0,0,2,1,
2012950006090,325940,673640,-3.187531,55.950107,95,3,1,2,01/11/2012,5,00:15:00,923,S12000036,3,7,6,30,6,2,5,0,0,5,4,1,2,0,0,1,1,
2012950006098,324540,671120,-3.209239,55.927252,95,3,2,1,03/10/2012,4,12:30:00,923,S12000036,6,0,6,30,7,4,6,0,2,5,1,1,1,0,0,1,1,
2012950006099,324700,673640,-3.207383,55.949914,95,3,1,1,01/11/2012,5,09:30:00,923,S12000036,6,0,2,30,7,2,3,702,0,0,1,1,1,0,0,1,2,
2012950006102,325110,674140,-3.200958,55.954469,95,3,2,1,01/11/2012,5,12:55:00,923,S12000036,5,0,6,30,6,2,5,0,0,5,1,1,1,0,0,1,1,
2012950006104,325530,670980,-3.19336,55.926148,95,3,1,1,01/11/2012,5,13:40:00,923,S12000036,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,2,
2012950006110,297170,668700,-3.646175,55.90044,95,2,2,1,01/11/2012,5,17:00:00,940,S12000040,6,0,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,
2012950006112,304200,664680,-3.532364,55.865784,95,3,2,1,01/11/2012,5,15:20:00,940,S12000040,6,0,1,30,2,4,6,0,0,0,1,1,1,0,0,1,1,
2012950006113,325130,667460,-3.198784,55.894466,95,3,2,1,01/11/2012,5,08:50:00,923,S12000036,3,720,3,60,0,-1,-1,0,0,0,1,9,1,0,0,1,2,
2012950006123,305060,666700,-3.519336,55.884098,95,3,1,1,15/10/2012,2,22:05:00,940,S12000040,6,0,6,30,2,4,6,0,0,1,4,1,1,0,0,1,1,
2012950006127,298950,676300,-3.620567,55.969076,95,2,2,1,02/11/2012,6,08:20:00,940,S12000040,6,0,6,20,3,4,6,0,0,0,1,2,2,0,0,1,1,
2012950006132,320050,670810,-3.280986,55.923741,95,3,1,1,02/11/2012,6,09:55:00,923,S12000036,3,71,3,40,1,4,6,0,0,0,1,1,2,0,0,1,1,
2012950006137,338590,674460,-2.985183,55.959259,95,3,2,1,02/11/2012,6,12:07:00,921,S12000010,4,1348,6,30,0,-1,-1,0,0,5,1,1,2,0,0,2,2,
2012950006138,334140,672440,-3.055953,55.940522,95,2,1,1,02/11/2012,6,16:00:00,921,S12000010,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,2,
2012950006141,315770,671210,-3.349582,55.926603,95,3,3,1,02/11/2012,6,17:21:00,923,S12000036,1,8,3,70,0,-1,-1,0,0,0,6,1,2,0,0,2,1,
2012950006143,365550,623560,-2.546959,55.504625,95,3,2,2,02/11/2012,6,18:25:00,914,S12000026,4,6357,6,60,3,4,3,698,0,0,6,1,2,0,0,2,1,
2012950006144,298520,666990,-3.623952,55.885369,95,3,2,3,02/11/2012,6,14:59:00,940,S12000040,4,792,6,40,9,4,6,0,0,0,1,1,2,0,0,2,1,
2012950006148,305910,670750,-3.507163,55.920642,95,3,1,1,03/11/2012,7,09:45:00,940,S12000040,6,0,6,40,0,-1,-1,0,0,0,1,1,4,0,0,2,1,
2012950006150,382100,665270,-2.287684,55.880288,95,2,3,6,02/11/2012,6,15:44:00,914,S12000026,3,1,6,60,0,-1,-1,0,0,0,1,1,1,0,0,2,1,
2012950006151,379970,650390,-2.320629,55.746507,95,3,1,1,02/11/2012,6,20:00:00,914,S12000026,3,6112,6,60,0,-1,-1,0,0,0,6,1,2,0,0,2,1,
2012950006152,324800,673710,-3.205801,55.950558,95,3,2,1,02/11/2012,6,23:02:00,923,S12000036,3,900,6,30,3,2,3,8,0,5,4,1,2,0,0,1,1,
2012950006153,303110,666490,-3.550422,55.881823,95,3,2,2,01/11/2012,5,17:41:00,940,S12000040,4,7015,6,40,3,4,6,0,0,0,4,1,2,0,0,1,1,
2012950006154,330490,671810,-3.114213,55.934348,95,3,2,1,03/11/2012,7,19:45:00,923,S12000036,3,6106,6,30,0,-1,-1,0,0,8,4,1,1,0,0,1,1,
2012950006155,303700,670420,-3.542394,55.91724,95,3,1,1,03/11/2012,7,01:45:00,940,S12000040,1,8,3,70,0,-1,-1,0,0,0,6,1,1,0,0,2,1,
2012950006161,323790,672830,-3.221722,55.942494,95,3,1,1,03/11/2012,7,12:10:00,923,S12000036,3,70,6,30,3,4,6,0,0,8,1,1,1,0,0,1,1,
2012950006162,323330,673200,-3.22919,55.945744,95,3,1,1,02/11/2012,6,16:06:00,923,S12000036,3,8,6,30,3,4,6,0,0,0,1,1,1,0,0,1,2,
2012950006168,323960,674720,-3.219535,55.959499,95,3,1,1,03/11/2012,7,19:00:00,923,S12000036,4,900,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,2,
2012950006169,369450,636530,-2.486655,55.621423,95,2,2,1,02/11/2012,6,20:30:00,914,S12000026,3,6089,6,60,9,4,6,0,0,0,6,1,2,0,0,2,2,
